year,games,total_goals_per_game,goals_pp,chances_pp,shots,shot_pct
1976-77,80,6.64,53,265,2401,11.1
1977-78,80,6.59,54,255,2343,11.3
1978-79,80,7.00,62,271,2351,11.9
1979-80,80,7.03,61,280,2352,12.0
1980-81,80,7.69,77,340,2441,12.6
1981-82,80,8.03,73,320,2489,12.9
1982-83,80,7.73,71,310,2444,12.7
1983-84,80,7.89,74,336,2448,12.9
1984-85,80,7.77,71,321,2447,12.7
1985-86,80,7.94,82,370,2484,12.8
1986-87,80,7.34,72,344,2400,12.2
1987-88,80,7.43,89,437,2435,12.2
1988-89,80,7.48,85,403,2430,12.3
1989-90,80,7.37,76,367,2421,12.2
1990-91,80,6.91,71,366,2385,11.6
1991-92,80,6.96,77,402,2440,11.4
1992-93,84,7.25,87,443,2603,11.7
1993-94,84,6.48,76,407,2545,10.7
1994-95,48,5.97,37,209,1408,10.2
1995-96,82,6.29,74,413,2481,10.4
1996-97,82,5.83,55,336,2444,9.8
1997-98,82,5.28,57,380,2242,9.6
1998-99,82,5.27,57,359,2285,9.4
1999-00,82,5.49,53,331,2294,9.8
2000-01,82,5.51,63,376,2272,9.9
2001-02,82,5.24,53,338,2262,9.5
2002-03,82,5.31,60,363,2326,9.4
2003-04,82,5.14,57,348,2300,9.2
2005-06,82,6.05,85,480,2458,10.1
2006-07,82,5.76,70,398,2426,9.7
2007-08,82,5.44,62,351,2383,9.4
2008-09,82,5.70,65,341,2477,9.4
2009-10,82,5.53,56,304,2486,9.1
2010-11,82,5.46,52,291,2492,9.0
2011-12,82,5.32,47,271,2439,8.9
2012-13,48,5.31,29,160,1399,9.1
2013-14,82,5.34,48,269,2463,8.9
2014-15,82,5.32,47,251,2453,8.9
2015-16,82,5.34,48,255,2438,9.0
2016-17,82,5.45,47,245,2478,9.0
2017-18,82,5.86,50,250,2620,9.2
2018-19,82,5.96,47,239,2579,9.5
2019-20,70,5.96,42,208,2192,9.5
